Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"BTC/USDT","3/17/2026, 10:19:03 PM","Open","$74557.68","N/A","0.013200","$0.00","$1.97","$-1.97","-0.20%","open","N/A"
"BTC/USDT","3/17/2026, 9:06:56 PM","3/17/2026, 10:18:56 PM","$74482.53","$74534.28","0.013230","$0.68","$3.94","$-3.26","-0.33%","closed","stale_flat"
"BTC/USDT","3/17/2026, 8:50:32 PM","3/17/2026, 9:06:50 PM","$74575.38","$74449.75","0.013250","$-1.66","$3.95","$-5.61","-0.57%","closed","stale_underwater"
"BTC/USDT","3/17/2026, 8:32:01 PM","3/17/2026, 8:50:26 PM","$74639.00","$74561.16","0.012050","$-0.94","$3.60","$-4.53","-0.50%","closed","stale_underwater"
