Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"ETH/USD","3/3/2026, 4:43:08 PM","Open","$1961.15","N/A","0.152016","$0.00","$0.30","$-0.30","-0.10%","open","N/A"
"BTC/USD","3/3/2026, 4:42:45 PM","Open","$67599.08","N/A","0.004438","$0.00","$0.30","$-0.30","-0.10%","open","N/A"
"BTC/USD","3/3/2026, 3:46:04 PM","3/3/2026, 4:42:43 PM","$67626.50","$67599.08","0.003789","$-0.10","$0.51","$-0.62","-0.24%","closed","underwater_profitable_collapse"
"ETH/USD","3/3/2026, 3:45:29 PM","3/3/2026, 4:43:06 PM","$1961.93","$1961.15","0.121054","$-0.09","$0.48","$-0.57","-0.24%","closed","underwater_profitable_collapse"
"ETH/USD","3/3/2026, 2:31:25 PM","3/3/2026, 3:01:52 PM","$1973.42","$1943.94","0.129851","$-3.83","$0.51","$-4.34","-1.69%","closed","stale_underwater"
"BTC/USD","3/3/2026, 1:15:12 AM","3/3/2026, 1:57:11 AM","$69147.61","$68829.52","0.003435","$-1.09","$0.48","$-1.57","-0.66%","closed","stale_underwater"
"ETH/USD","3/2/2026, 10:46:19 PM","3/2/2026, 11:16:51 PM","$2054.76","$2047.07","0.146002","$-1.12","$0.60","$-1.72","-0.57%","closed","stale_underwater"
"BTC/USD","3/2/2026, 9:00:39 PM","3/2/2026, 11:23:08 PM","$69079.48","$69027.30","0.005187","$-0.27","$0.72","$-0.99","-0.28%","closed","underwater_profitable_collapse"
