Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"BTC/USDT","3/20/2026, 11:16:26 AM","3/20/2026, 11:31:28 AM","$70801.59","$70687.85","0.001760","$-0.20","$0.25","$-0.45","-0.36%","closed","stale_underwater"
"ETH/USDT","3/20/2026, 10:46:30 AM","3/20/2026, 11:37:19 AM","$2148.28","$2143.73","0.058100","$-0.26","$0.25","$-0.51","-0.41%","closed","stale_underwater"
"BTC/USDT","3/20/2026, 8:16:57 AM","3/20/2026, 8:31:59 AM","$71340.05","$71165.56","0.001750","$-0.31","$0.25","$-0.55","-0.44%","closed","stale_underwater"
"ETH/USDT","3/20/2026, 8:15:57 AM","3/20/2026, 8:30:59 AM","$2171.94","$2166.66","0.057500","$-0.30","$0.25","$-0.55","-0.44%","closed","stale_underwater"
"BTC/USDT","3/20/2026, 4:01:34 AM","3/20/2026, 4:34:23 AM","$70738.28","$70655.90","0.001760","$-0.14","$0.25","$-0.39","-0.32%","closed","stale_underwater"
