Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"ETH/USDT","3/22/2026, 12:30:58 PM","Open","$2084.72","N/A","0.179800","$0.00","$0.37","$-0.37","-0.10%","open","N/A"
"ETH/USDT","3/22/2026, 9:17:01 AM","3/22/2026, 9:42:04 AM","$2092.62","$2086.89","0.119400","$-0.68","$0.50","$-1.18","-0.47%","closed","stale_underwater"
"BTC/USDT","3/22/2026, 5:31:48 AM","3/22/2026, 7:39:59 AM","$69223.79","$69033.26","0.003610","$-0.69","$0.50","$-1.19","-0.47%","closed","stale_underwater"
"ETH/USDT","3/22/2026, 4:46:07 AM","3/22/2026, 5:30:01 AM","$2119.54","$2114.89","0.117900","$-0.55","$0.50","$-1.05","-0.42%","closed","stale_underwater"
"BTC/USDT","3/22/2026, 4:01:36 AM","3/22/2026, 5:15:05 AM","$69368.44","$69219.30","0.005400","$-0.81","$0.75","$-1.55","-0.41%","closed","stale_underwater"
"ETH/USDT","3/22/2026, 3:32:32 AM","3/22/2026, 4:21:24 AM","$2117.14","$2112.78","0.118000","$-0.51","$0.50","$-1.01","-0.41%","closed","stale_underwater"
