Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"ETH/USDT","3/30/2026, 11:51:14 AM","3/30/2026, 12:03:18 PM","$2073.94","$2070.92","0.482100","$-1.46","$2.00","$-3.45","-0.35%","closed","momentum_failure_late"
"ETH/USDT","3/30/2026, 8:43:17 AM","3/30/2026, 9:00:12 AM","$2066.47","$2062.73","0.967800","$-3.62","$4.00","$-7.62","-0.38%","closed","momentum_failure_late"
"ETH/USDT","3/30/2026, 8:38:14 AM","3/30/2026, 8:43:15 AM","$2072.42","$2065.48","0.965000","$-6.70","$3.99","$-10.69","-0.53%","closed","underwater_never_profited"
"ETH/USDT","3/30/2026, 8:35:25 AM","3/30/2026, 8:38:07 AM","$2061.97","$2070.10","0.969900","$7.89","$4.01","$3.88","0.19%","closed","erosion_cap_exceeded"
"BTC/USDT","3/30/2026, 8:30:16 AM","3/30/2026, 8:56:36 AM","$67783.59","$67676.10","0.029500","$-3.17","$4.00","$-7.17","-0.36%","closed","momentum_failure_late"
"ETH/USDT","3/30/2026, 8:15:11 AM","3/30/2026, 8:35:16 AM","$2063.76","$2061.97","0.969100","$-1.73","$4.00","$-5.73","-0.29%","closed","stale_flat"
"BTC/USDT","3/30/2026, 8:15:11 AM","3/30/2026, 8:27:16 AM","$67852.00","$67783.59","0.029470","$-2.02","$4.00","$-6.01","-0.30%","closed","momentum_failure_late"
