Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"ETH/USDT","3/25/2026, 7:41:02 PM","Open","$2173.42","N/A","0.345000","$0.00","$0.75","$-0.75","-0.10%","open","N/A"
"BTC/USDT","3/25/2026, 7:40:13 PM","Open","$71043.75","N/A","0.021110","$0.00","$1.50","$-1.50","-0.10%","open","N/A"
"ETH/USDT","3/25/2026, 7:39:09 PM","3/25/2026, 7:40:59 PM","$2169.89","$2173.42","0.691200","$2.44","$3.00","$-0.56","-0.04%","closed","erosion_cap_exceeded"
"ETH/USDT","3/25/2026, 7:30:24 PM","3/25/2026, 7:39:06 PM","$2169.12","$2169.89","0.691500","$0.53","$3.00","$-2.47","-0.16%","closed","erosion_cap_exceeded"
"BTC/USDT","3/25/2026, 7:30:23 PM","3/25/2026, 7:40:10 PM","$70950.33","$71043.75","0.007040","$0.66","$1.00","$-0.34","-0.07%","closed","erosion_cap_exceeded"
