Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"BTC/USD","2/11/2026, 1:12:12 PM","Open","$66969.02","N/A","0.002240","$0.00","$0.15","$-0.15","-0.10%","open","N/A"
"BTC/USD","2/11/2026, 12:31:05 PM","2/11/2026, 1:09:40 PM","$67218.17","$67014.83","0.010414","$-2.12","$0.00","$-2.12","-0.30%","closed","stale_underwater"
"ETH/USD","2/11/2026, 12:31:03 PM","2/11/2026, 1:04:06 PM","$1962.03","$1953.92","0.324919","$-2.64","$0.00","$-2.64","-0.41%","closed","stale_underwater"
"ETH/USD","2/11/2026, 12:14:24 PM","2/11/2026, 12:30:56 PM","$1958.35","$1962.03","0.325529","$1.20","$0.00","$1.20","0.19%","closed","erosion_cap_exceeded"
"BTC/USD","2/11/2026, 12:14:23 PM","2/11/2026, 12:30:08 PM","$67122.96","$67316.79","0.006704","$1.30","$0.00","$1.30","0.29%","closed","erosion_cap_exceeded"
"ETH/USD","2/11/2026, 11:30:24 AM","2/11/2026, 12:16:04 PM","$1953.41","$1958.35","0.339151","$1.68","$0.00","$1.68","0.25%","closed","erosion_cap_exceeded"
"BTC/USD","2/11/2026, 11:30:24 AM","2/11/2026, 12:11:37 PM","$67038.57","$67140.60","0.007085","$0.72","$0.00","$0.72","0.15%","closed","erosion_cap_exceeded"
"ETH/USD","2/10/2026, 6:07:28 PM","2/10/2026, 11:12:34 PM","$2029.41","$2017.45","0.110870","$-1.33","$0.00","$-1.33","-0.59%","closed","underwater_small_peak_timeout"
"ETH/USD","2/9/2026, 10:31:08 PM","2/9/2026, 11:01:13 PM","$2121.65","$2114.15","0.126670","$-0.95","$0.27","$-1.22","-0.45%","closed","stale_underwater"
"ETH/USD","2/9/2026, 2:45:55 PM","2/9/2026, 9:24:41 PM","$2035.43","$2112.00","0.155982","$11.94","$0.00","$11.94","3.76%","closed","erosion_cap_exceeded"
"BTC/USD","2/9/2026, 12:25:10 PM","2/9/2026, 4:12:05 PM","$69117.23","$69248.23","0.009581","$1.26","$0.00","$1.26","0.19%","closed","erosion_cap_exceeded"
"BTC/USD","2/9/2026, 11:31:14 AM","2/9/2026, 12:21:52 PM","$69000.00","$69117.23","0.007246","$0.85","$0.50","$0.35","0.07%","closed","erosion_cap_exceeded"
