Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"BTC/USD","3/6/2026, 9:15:57 PM","Open","$68151.13","N/A","0.004402","$0.00","$0.30","$-0.30","-0.10%","open","N/A"
"BTC/USD","3/6/2026, 6:30:36 PM","3/6/2026, 7:46:42 PM","$68308.27","$68077.40","0.004392","$-1.01","$0.60","$-1.62","-0.54%","closed","stale_underwater"
"ETH/USD","3/6/2026, 6:15:11 PM","3/6/2026, 9:29:37 PM","$1979.82","$1972.45","0.119960","$-0.88","$0.48","$-1.36","-0.57%","closed","stale_underwater"
"BTC/USD","3/6/2026, 3:46:11 PM","3/6/2026, 4:16:36 PM","$68903.90","$68379.09","0.004807","$-2.52","$0.66","$-3.19","-0.96%","closed","stale_underwater"
"ETH/USD","3/5/2026, 8:46:14 PM","3/5/2026, 9:36:52 PM","$2088.43","$2082.05","0.053868","$-0.34","$0.23","$-0.57","-0.51%","closed","stale_underwater"
"BTC/USD","3/5/2026, 7:15:40 PM","3/5/2026, 7:45:46 PM","$71321.97","$70996.32","0.002016","$-0.66","$0.29","$-0.94","-0.66%","closed","stale_underwater"
"ETH/USD","3/5/2026, 6:45:31 PM","3/5/2026, 8:41:36 PM","$2075.33","$2088.91","0.076293","$1.04","$0.32","$0.72","0.45%","closed","erosion_cap_exceeded"
"ETH/USD","3/5/2026, 5:00:14 PM","3/5/2026, 5:30:19 PM","$2079.45","$2067.73","0.076142","$-0.89","$0.32","$-1.21","-0.76%","closed","stale_underwater"
"ETH/USD","3/5/2026, 1:15:46 AM","3/5/2026, 1:45:53 AM","$2138.23","$2111.02","0.055537","$-1.51","$0.24","$-1.75","-1.47%","closed","stale_underwater"
"ETH/USD","3/4/2026, 7:23:37 PM","3/4/2026, 8:03:10 PM","$2181.45","$2174.69","0.150898","$-1.02","$0.66","$-1.68","-0.51%","closed","stale_underwater"
"ETH/USD","3/4/2026, 6:31:21 PM","3/4/2026, 7:23:34 PM","$2150.29","$2181.45","0.139227","$4.34","$0.60","$3.74","1.25%","closed","erosion_cap_exceeded"
"BTC/USD","3/4/2026, 6:30:20 PM","3/4/2026, 8:55:41 PM","$73449.05","$73215.31","0.004084","$-0.95","$0.60","$-1.56","-0.52%","closed","stale_underwater"
"ETH/USD","3/4/2026, 5:20:48 PM","3/4/2026, 6:31:19 PM","$2135.56","$2150.29","0.139558","$2.06","$0.60","$1.46","0.49%","closed","erosion_cap_exceeded"
"BTC/USD","3/4/2026, 5:19:13 PM","3/4/2026, 6:10:54 PM","$73312.50","$73090.35","0.005371","$-1.19","$0.79","$-1.98","-0.50%","closed","stale_underwater"
"BTC/USD","3/4/2026, 4:13:21 PM","3/4/2026, 5:19:11 PM","$72782.09","$73312.50","0.005582","$2.96","$0.82","$2.15","0.53%","closed","erosion_cap_exceeded"
"ETH/USD","3/4/2026, 4:01:15 PM","3/4/2026, 5:20:46 PM","$2143.87","$2135.56","0.188954","$-1.57","$0.81","$-2.38","-0.59%","closed","stale_underwater"
"ETH/USD","3/4/2026, 3:41:45 PM","3/4/2026, 4:01:13 PM","$2125.57","$2143.87","0.191011","$3.50","$0.82","$2.68","0.66%","closed","erosion_cap_exceeded"
"BTC/USD","3/4/2026, 3:31:14 PM","3/4/2026, 4:13:19 PM","$73026.70","$72782.09","0.005563","$-1.36","$0.81","$-2.17","-0.54%","closed","stale_underwater"
"ETH/USD","3/4/2026, 3:24:14 PM","3/4/2026, 3:41:42 PM","$2098.33","$2125.57","0.157864","$4.30","$0.67","$3.63","1.10%","closed","erosion_cap_exceeded"
