Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"ETH/USDT","3/23/2026, 12:46:56 PM","Open","$2144.48","N/A","0.116500","$0.00","$0.25","$-0.25","-0.10%","open","N/A"
"BTC/USDT","3/23/2026, 12:45:55 PM","Open","$70674.75","N/A","0.003530","$0.00","$0.25","$-0.25","-0.10%","open","N/A"
"BTC/USDT","3/23/2026, 11:33:32 AM","3/23/2026, 11:38:36 AM","$71123.11","$70464.67","0.001750","$-1.15","$0.25","$-1.40","-1.12%","closed","underwater_never_profited"
"ETH/USDT","3/23/2026, 11:30:04 AM","3/23/2026, 11:47:00 AM","$2168.50","$2143.73","0.116000","$-2.87","$0.50","$-3.37","-1.34%","closed","underwater_small_peak_timeout"
"ETH/USDT","3/23/2026, 11:23:29 AM","3/23/2026, 11:30:03 AM","$2154.04","$2168.50","0.114800","$1.66","$0.50","$1.16","0.47%","closed","erosion_cap_exceeded"
"ETH/USDT","3/23/2026, 11:18:57 AM","3/23/2026, 11:23:28 AM","$2171.79","$2154.04","0.114300","$-2.03","$0.49","$-2.52","-1.02%","closed","underwater_small_peak_timeout"
"ETH/USDT","3/23/2026, 11:15:32 AM","3/23/2026, 11:18:56 AM","$2183.93","$2171.79","0.114300","$-1.39","$0.50","$-1.89","-0.76%","closed","underwater_small_peak_timeout"
